序号,层路径,类型,输入形状,输出形状,作用,参数量,可训练参数量,MACs_per_patch,FLOPs_per_patch_approx
1,stem,ContrastAwareStem,"[1,1,32,32]","[1,32,32,32]",融合 3×3 局部纹理和局部对比度两条输入分支；计算量由子层统计,0,0,,
2,stem.local_branch.0,Conv2d,"[1,1,32,32]","[1,16,32,32]",局部空间特征提取；Conv 1→16，kernel=3×3，stride=1×1，dilation=1×1，groups=1,144,144,147456,294912
3,stem.local_branch.1,GroupNorm,"[1,16,32,32]","[1,16,32,32]",组归一化；groups=8，channels=16,32,32,,
4,stem.local_branch.2,SiLU,"[1,16,32,32]","[1,16,32,32]",SiLU 平滑非线性激活,0,0,,
5,stem.contrast_branch.0,Conv2d,"[1,1,32,32]","[1,16,32,32]",局部空间特征提取；Conv 1→16，kernel=3×3，stride=1×1，dilation=1×1，groups=1,144,144,147456,294912
6,stem.contrast_branch.1,GroupNorm,"[1,16,32,32]","[1,16,32,32]",组归一化；groups=8，channels=16,32,32,,
7,stem.contrast_branch.2,SiLU,"[1,16,32,32]","[1,16,32,32]",SiLU 平滑非线性激活,0,0,,
8,stem.fuse.0,Conv2d,"[1,32,32,32]","[1,32,32,32]",通道投影与融合；Conv 32→32，kernel=1×1，stride=1×1，dilation=1×1，groups=1,1024,1024,1048576,2097152
9,stem.fuse.1,GroupNorm,"[1,32,32,32]","[1,32,32,32]",组归一化；groups=8，channels=32,64,64,,
10,stem.fuse.2,SiLU,"[1,32,32,32]","[1,32,32,32]",SiLU 平滑非线性激活,0,0,,
11,stage1.0,StableResBlock,"[1,32,32,32]","[1,32,32,32]",预激活残差块，含抗混叠下采样、LayerScale 与 DropPath；计算量由子层统计,32,32,,
12,stage1.0.downsample,Identity,"[1,32,32,32]","[1,32,32,32]",恒等映射，保持残差捷径不变,0,0,,
13,stage1.0.shortcut,Identity,"[1,32,32,32]","[1,32,32,32]",恒等映射，保持残差捷径不变,0,0,,
14,stage1.0.norm1,GroupNorm,"[1,32,32,32]","[1,32,32,32]",组归一化；groups=8，channels=32,64,64,,
